intent,Q,A
질문.몸무게,{멤버} 몸무게 알려줘,"{멤버} 몸무게는 {몸무게}kg야, {멤버}는 {몸무게}kg이야, {몸무게}kg임!"
질문.출신(초등학교),{멤버} 어디 초등학교 나왔어?,"{멤버}는 {출신(초등학교)}를 졸업했어, {멤버}는 {출신(초등학교)} 출신이야"
질문.출신(초등학교),{멤버}는 어디 초등학교 출신이야?,"{멤버}는 {출신(초등학교)}를 졸업했어, {멤버}는 {출신(초등학교)} 출신이야"
질문.출신(중학교),{멤버}는 어디 중학교 나왔어?,"{멤버}는 {출신(중학교)}를 졸업했어, {멤버}는 {출신(중학교)} 출신이야"
질문.출신(중학교),{멤버}는 어디 중학교 출신이야?,"{멤버}는 {출신(중학교)}를 졸업했어, {멤버}는 {출신(중학교)} 출신이야"
질문.출신(고등학교),{멤버}는 어디 고등학교 나왔어?,"{멤버}는 {출신(고등학교)}를 졸업했어, {멤버}는 {출신(고등학교)} 출신이야"
질문.출신(고등학교),{멤버}는 어디 고등학교 출신이야?,"{멤버}는 {출신(고등학교)}를 졸업했어, {멤버}는 {출신(고등학교)} 출신이야"
질문.출신(대학교),{멤버}는 어느 대학교를 나왔어?,{멤버}는 {출신(대학교)}를 졸업했어
질문.출신(대학교),{멤버}는 어느 대학교를 졸업했어?,{멤버}는 {출신(대학교)}를 졸업했어
질문.전공,{멤버}는 무슨 전공이야?,"{멤버} 전공은 {전공}이야, {멤버}는 {전공}과야"
질문.전공,{멤버}는 무슨 과야?,"{멤버} 전공은 {전공}이야, {멤버}는 {전공}과야"
질문.가족관계,{멤버}는 가족 관계가 어떻게 돼?,{멤버}는 {가족관계}이 있어
질문.가족관계,{멤버}의 가족관계에 대해 알려줘,{멤버}는 {가족관계}이 있어
질문.고향,{멤버}는 고향이 어디야?,"{멤버}는 {고향}이 고향이야, {멤버}는 {고향}에서 태어났어"
질문.고향,{멤버}는 태어난 곳이 어디야?,"{멤버}는 {고향}이 고향이야, {멤버}는 {고향}에서 태어났어"
질문.예명,{멤버}는 예명이 뭐였어?,{멤버} 예명은 {예명}이였어
질문.예명,{멤버} 예명 좀 알려줘,{멤버} 예명은 {예명}이였어
질문.반려동물,{멤버}는 키우는 반려동물이 있어?,"{멤버}는 {반려동물}을 키우고있어, {반려동물}이 {멤버}가 키우는 반려동물이야"
질문.반려동물,{멤버}는 반려동물을 키워?,"{멤버}는 {반려동물}을 키우고있어, {반려동물}이 {멤버}가 키우는 반려동물이야"
질문.종교,{멤버}는 믿는 종교가 있어?,"{멤버}는 {종교}야, 멤버 종교는 {종교}야"
질문.종교,{멤버}는 종교가 뭐야?,"{멤버}는 {종교}야, 멤버 종교는 {종교}야"
질문.소속사,{멤버}는 지금 어디 소속이야?,"{멤버} 소속사는 {소속사}야, {멤버}는 {소속사} 소속이야"
질문.소속사,{멤버} 소속사 이름 좀 알려줘,"{멤버} 소속사는 {소속사}야, {멤버}는 {소속사} 소속이야"
질문.소속사,{멤버} 소속사가 어디야?,"{멤버} 소속사는 {소속사}야, {멤버}는 {소속사} 소속이야"
질문.포지션,{멤버}는 그룹 내에서 어떤 담당이야?,{멤버}는 {역할}을 맡고있어
질문.포지션,{멤버}는 역할이 뭐야?,{멤버}는 {역할} 포지션을 담당하고있어
질문.기념일일자,{멤버}는 언제 데뷔했지?,"{멤버}는 {데뷔년도}에 데뷔헀어,{멤버} 데뷔는 {데뷔년도}야"
질문.기념일일자,{멤버} 데뷔가 언제더라?,"{멤버}는 {데뷔년도}에 데뷔헀어,{멤버} 데뷔는 {데뷔년도}야"
질문.첫앨범,{멤버}의 첫번째 앨범이 뭐야?,"{멤버}의 첫번째 앨범은 {첫앨범}이야, {멤버}의 데뷔앨범은 {첫앨범}이야"
질문.첫앨범,{멤버} 데뷔앨범이 뭐지?,"{멤버}의 첫번째 앨범은 {첫앨범}이야, {멤버}의 데뷔앨범은 {첫앨범}이야"
질문.취미,{멤버}의 취미는 뭐야?,"{멤버}의 취미는 {취미}야, {멤버}는 {취미}하는 것 좋아해"
질문.취미,{멤버}는 뭐 좋아해?,"{멤버}의 취미는 {취미}야, {멤버}는 {취미}하는 것 좋아해"
질문.별명,{멤버}의 별명 알려줘,"{멤버}의 별명은 {별명}이야, {멤버}는 {별명} 이렇게 많이 부르지"
질문.별명,{멤버}의 애칭이 뭘까?,"{멤버}의 별명은 {별명}이야, {멤버}는 {별명} 이렇게 많이 부르지"
질문.훈장,{멤버}가 받은 훈장이 있을까?,"{멤버}가 {훈장}도 받았어, {멤버}가 받은 훈장은 {훈장}이야"
질문.훈장,{멤버}가 훈장도 받았어?,"{멤버}가 {훈장}도 받았어, {멤버}가 받은 훈장은 {훈장}이야"
질문.한자,{멤버}은(는) 한자가 어떻게 돼?,"{멤버}은(는) {한자이름}이라고 써, {멤버}은(는) {한자이름}라고 해"
질문.한자,{멤버} 이름은 한자로 어떻게 써?,"{멤버}은(는) {한자이름}이라고 써, {멤버}은(는) {한자이름}라고 해"
질문.이름지어준사람,{멤버} 이름은 누가 지어줬어?,"{멤버}은(는) {작명자}가 지어줬어, {멤버}은(는) {작명자}한테 받았어"
질문.이름지어준사람,{멤버} 이름은 누구한테 받았어?,"{멤버}은(는) {작명자}가 지어줬어, {멤버}은(는) {작명자}한테 받았어"
질문.발사이즈,{멤버}는 발 사이즈 몇이야?,"{멤버} 발사이즈는 {발사이즈}야, {멤버}은(는) {발사이즈} 신어"
질문.발사이즈,{멤버}는 신발 몇 신는지 알려줘,"{멤버} 발사이즈는 {발사이즈}야, {멤버}은(는) {발사이즈} 신어"
질문.팔로워수,{멤버}는 {SNS} 팔로워 몇이야?,"{멤버} SNS 팔로워 수는 {팔로워수}야, {팔로워수}야!"
질문.팔로워수,BTS 멤버 중에 {SNS} 팔로워 누가 제일 많아?,"SNS 팔로워 수는 {멤버}가 제일 많아, {멤버}가 SNS 팔로워 수 젤 많음!, {멤버}가 짱 많음!"
질문.팔로워수,BTS {SNS} 팔로워 몇이야?,BTS SNS 팔로워 수는 {팔로워수}야
질문.인스타,{멤버} 인스타 링크 알려줘,"짠 {인스타링크}, {멤버}는 {인스타아이디} 라고 해"
질문.인스타,{멤버} 인스타 아이디 뭐야?,"짠 {인스타링크}, {멤버}는 {인스타아이디} 라고 해"
질문.고향,{멤버}는 어디서 자랐어?,"{멤버}는 {고향}에서 자랐어, {고향}이야!, {멤버}는 {고향}이 고향이야, {고향}임!"
질문.고향,{멤버} 고향이 어디야?,"{멤버}는 {고향}에서 자랐어, {고향}이야!, {멤버}는 {고향}이 고향이야, {고향}임!"
질문.혈액형,{멤버} 혈액형이 뭐야?,"{멤버} 혈액형은 {혈액형}이야, {멤버}는 {혈액형}이야"
질문.혈액형,{멤버} 혈액형 좀 알려줘,"{멤버} 혈액형은 {혈액형}이야, {멤버}는 {혈액형}이야"
질문.데뷔년도,{멤버}는 언제 데뷔했어?,"{멤버}는 {데뷔년도}에 데뷔했어, {멤버}는 {데뷔년도} 데뷔야 "
질문.데뷔년도,{멤버} 데뷔년도가 언제야?,"{멤버}는 {데뷔년도}에 데뷔했어, {멤버}는 {데뷔년도} 데뷔야 "
질문.영어이름,{멤버} 본명 영문좀 알려줘,"{멤버} 이름 영문 표기는 {영어이름}이야, {영어이름}이 {멤버} 영어이름이야"
질문.영어이름,{멤버} 본명을 영어로 어떻게 써?,"{멤버} 이름 영문 표기는 {영어이름}이야, {영어이름}이 {멤버} 영어이름이야"
